main_category_id,main_category,subcategory,service,serviceLink,content_file,sub_category_id,service_id
1,Education & Training,Vocational Education & Training,Implementation of Technical Education Development Programmes - Specialized for North East Provinces,https://gic.gov.lk/gic/index.php/en/component/info/?id=824&catid=16&task=info,service_md_1/Implementation_of_Technical_Education_Development_Programmes___Specialized_for_North_East_Provinces.md,16,824
1,Education & Training,Vocational Education & Training,Obtaining Certificates and Endorsements From the Deck Department,https://gic.gov.lk/gic/index.php/en/component/info/?id=1600&catid=16&task=info,service_md_1/Obtaining_Certificates_and_Endorsements_From_the_Deck_Department.md,16,1600
1,Education & Training,Vocational Education & Training,Carrier Guidance and Counseling,https://gic.gov.lk/gic/index.php/en/component/info/?id=616&catid=16&task=info,service_md_1/Carrier_Guidance_and_Counseling.md,16,616
1,Education & Training,Vocational Education & Training,"Facilitating to the vocational training graduates for further training ,job placement or self employ",https://gic.gov.lk/gic/index.php/en/component/info/?id=777&catid=16&task=info,service_md_1/Facilitating_to_the_vocational_training_graduates_for_further_training__job_placement_or_self_employ.md,16,777
1,Education & Training,Vocational Education & Training,Conducting career guidance and counseling programs,https://gic.gov.lk/gic/index.php/en/component/info/?id=779&catid=16&task=info,service_md_1/Conducting_career_guidance_and_counseling_programs.md,16,779
1,Education & Training,Vocational Education & Training,Certificates for Vocational Competencies,https://gic.gov.lk/gic/index.php/en/component/info/?id=620&catid=16&task=info,service_md_1/Certificates_for_Vocational_Competencies.md,16,620
1,Education & Training,Vocational Education & Training,Obtaining Certificates and Endorsements From the Engineering Department,https://gic.gov.lk/gic/index.php/en/component/info/?id=1602&catid=16&task=info,service_md_1/Obtaining_Certificates_and_Endorsements_From_the_Engineering_Department.md,16,1602
1,Education & Training,Vocational Education & Training,Information Systems,https://gic.gov.lk/gic/index.php/en/component/info/?id=1423&catid=16&task=info,service_md_1/Information_Systems.md,16,1423
1,Education & Training,Vocational Education & Training,Conducting Trade Test according to  the requirements of institutions,https://gic.gov.lk/gic/index.php/en/component/info/?id=782&catid=16&task=info,service_md_1/Conducting_Trade_Test_according_to__the_requirements_of_institutions.md,16,782
1,Education & Training,Vocational Education & Training,Sit for Exams and Obtaining of Certificates,https://gic.gov.lk/gic/index.php/en/component/info/?id=615&catid=16&task=info,service_md_1/Sit_for_Exams_and_Obtaining_of_Certificates.md,16,615
1,Education & Training,Vocational Education & Training,Quality Management System (QMS),https://gic.gov.lk/gic/index.php/en/component/info/?id=1267&catid=16&task=info,service_md_1/Quality_Management_System__QMS_.md,16,1267
1,Education & Training,Vocational Education & Training,National Vocational Test,https://gic.gov.lk/gic/index.php/en/component/info/?id=1105&catid=16&task=info,service_md_1/National_Vocational_Test.md,16,1105
1,Education & Training,Vocational Education & Training,Placement for Employment,https://gic.gov.lk/gic/index.php/en/component/info/?id=618&catid=16&task=info,service_md_1/Placement_for_Employment.md,16,618
1,Education & Training,Vocational Education & Training,Traning center,https://gic.gov.lk/gic/index.php/en/component/info/?id=1109&catid=16&task=info,service_md_1/Traning_center.md,16,1109
1,Education & Training,Vocational Education & Training,Entrepreneurship Development programs,https://gic.gov.lk/gic/index.php/en/component/info/?id=781&catid=16&task=info,service_md_1/Entrepreneurship_Development_programs.md,16,781
1,Education & Training,Vocational Education & Training,Research Cell,https://gic.gov.lk/gic/index.php/en/component/info/?id=1421&catid=16&task=info,service_md_1/Research_Cell.md,16,1421
1,Education & Training,Vocational Education & Training,Communication with World Community in Coordinating with IVETA.,https://gic.gov.lk/gic/index.php/en/component/info/?id=821&catid=16&task=info,service_md_1/Communication_with_World_Community_in_Coordinating_with_IVETA_.md,16,821
1,Education & Training,Vocational Education & Training,Financial Assistant,https://gic.gov.lk/gic/index.php/en/component/info/?id=1420&catid=16&task=info,service_md_1/Financial_Assistant.md,16,1420
1,Education & Training,Vocational Education & Training,Recognition of Prior Learning,https://gic.gov.lk/gic/index.php/en/component/info/?id=1166&catid=16&task=info,service_md_1/Recognition_of_Prior_Learning.md,16,1166
1,Education & Training,Vocational Education & Training,Build the Cordination with Secondry Education Sector in Giving Priority for Inovations.,https://gic.gov.lk/gic/index.php/en/component/info/?id=822&catid=16&task=info,service_md_1/Build_the_Cordination_with_Secondry_Education_Sector_in_Giving_Priority_for_Inovations_.md,16,822
