main_category_id,main_category,subcategory,service,serviceLink
4,"Travel, Tourism &  Lesiure",Leisure,State Music Ensemble,https://gic.gov.lk/gic/index.php/en/component/info/?id=643&catid=91&task=info
4,"Travel, Tourism &  Lesiure",Leisure,Rupavahini State Awards Ceremony,https://gic.gov.lk/gic/index.php/en/component/info/?id=636&catid=91&task=info
4,"Travel, Tourism &  Lesiure",Leisure,Museum of the National Zoological Gardens,https://gic.gov.lk/gic/index.php/en/component/info/?id=612&catid=91&task=info
4,"Travel, Tourism &  Lesiure",Leisure,Exhibition of Painters' Paintings,https://gic.gov.lk/gic/index.php/en/component/info/?id=639&catid=91&task=info
4,"Travel, Tourism &  Lesiure",Leisure,State Ballet  Contest  & Festival,https://gic.gov.lk/gic/index.php/en/component/info/?id=635&catid=91&task=info
4,"Travel, Tourism &  Lesiure",Leisure,Reservation of  Museum Auditorium,https://gic.gov.lk/gic/index.php/en/component/info/?id=1483&catid=91&task=info
4,"Travel, Tourism &  Lesiure",National Museums,Museum Visit,https://gic.gov.lk/gic/index.php/en/component/info/?id=1716&catid=97&task=info
4,"Travel, Tourism &  Lesiure",National Museums,Museum Publications,https://gic.gov.lk/gic/index.php/en/component/info/?id=1481&catid=97&task=info
4,"Travel, Tourism &  Lesiure",National Museums,National Museum Library,https://gic.gov.lk/gic/index.php/en/component/info/?id=1484&catid=97&task=info
4,"Travel, Tourism &  Lesiure",National Museums,Free guide lecture service,https://gic.gov.lk/gic/index.php/en/component/info/?id=1465&catid=97&task=info
4,"Travel, Tourism &  Lesiure",National Museums,Educational Programmes,https://gic.gov.lk/gic/index.php/en/component/info/?id=1478&catid=97&task=info
4,"Travel, Tourism &  Lesiure",National Museums,Museum Leaflets,https://gic.gov.lk/gic/index.php/en/component/info/?id=1477&catid=97&task=info
4,"Travel, Tourism &  Lesiure",National Museums,Museum Mobile Bus,https://gic.gov.lk/gic/index.php/en/component/info/?id=1601&catid=97&task=info
4,"Travel, Tourism &  Lesiure",Traveling,Free guide lecture service,https://gic.gov.lk/gic/index.php/en/component/info/?id=1465&catid=27&task=info
4,"Travel, Tourism &  Lesiure",Traveling,Reservation of Seats in Intercity and other Express Trains,https://gic.gov.lk/gic/index.php/en/component/info/?id=432&catid=27&task=info
4,"Travel, Tourism &  Lesiure",Traveling,Issue of New Passports,https://gic.gov.lk/gic/index.php/en/component/info/?id=1765&catid=27&task=info
4,"Travel, Tourism &  Lesiure",Traveling,Make the Appointments,https://gic.gov.lk/gic/index.php/en/component/info/?id=2423&catid=27&task=info
4,"Travel, Tourism &  Lesiure",Traveling,Reservation of a Special Train,https://gic.gov.lk/gic/index.php/en/component/info/?id=434&catid=27&task=info
4,"Travel, Tourism &  Lesiure",Traveling,Displaying Advertisements at Railway Stations and other Railway Premises,https://gic.gov.lk/gic/index.php/en/component/info/?id=451&catid=27&task=info
4,"Travel, Tourism &  Lesiure",Traveling,General Information on Passports,https://gic.gov.lk/gic/index.php/en/component/info/?id=1764&catid=27&task=info
4,"Travel, Tourism &  Lesiure",Traveling,National Transport Commission,https://gic.gov.lk/gic/index.php/en/component/info/?id=649&catid=27&task=info
4,"Travel, Tourism &  Lesiure",Traveling,National Council for Road Safety,https://gic.gov.lk/gic/index.php/en/component/info/?id=653&catid=27&task=info
4,"Travel, Tourism &  Lesiure",Traveling,Obtaining Visit Visa,https://gic.gov.lk/gic/index.php/en/component/info/?id=405&catid=27&task=info
4,"Travel, Tourism &  Lesiure",Traveling,Reservation of Compartment of a Train,https://gic.gov.lk/gic/index.php/en/component/info/?id=436&catid=27&task=info
4,"Travel, Tourism &  Lesiure",Traveling,Reservation of Retiring Rooms at Railway Stations,https://gic.gov.lk/gic/index.php/en/component/info/?id=448&catid=27&task=info
4,"Travel, Tourism &  Lesiure",Traveling,Alteration of Travel Documents,https://gic.gov.lk/gic/index.php/en/component/info/?id=1766&catid=27&task=info
4,"Travel, Tourism &  Lesiure",Traveling,Reservation of a Railway Holiday Resorts,https://gic.gov.lk/gic/index.php/en/component/info/?id=445&catid=27&task=info
4,"Travel, Tourism &  Lesiure",Traveling,Overseas Missions Passport Applications,https://gic.gov.lk/gic/index.php/en/component/info/?id=1767&catid=27&task=info
4,"Travel, Tourism &  Lesiure",Traveling,Transporting Goods using Railway Goods Wagons,https://gic.gov.lk/gic/index.php/en/component/info/?id=464&catid=27&task=info
4,"Travel, Tourism &  Lesiure",Traveling,Obtaining Resident Guest Scheme Visa,https://gic.gov.lk/gic/index.php/en/component/info/?id=407&catid=27&task=info
4,"Travel, Tourism &  Lesiure",Traveling,Photographing or Filming at Railway Premises and the Trains,https://gic.gov.lk/gic/index.php/en/component/info/?id=454&catid=27&task=info
5,"Justice, Law & Rights",Consumer Protection,"Calibration of weights, measures and weighing or measuring Instruments",https://gic.gov.lk/gic/index.php/en/component/info/?id=933&catid=28&task=info
5,"Justice, Law & Rights",Consumer Protection,"Obtain Pattern Approval for weights, Measures, Measuring instruments",https://gic.gov.lk/gic/index.php/en/component/info/?id=859&catid=28&task=info
5,"Justice, Law & Rights",Consumer Protection,"Consumer Education, Empowerment and Promoting the Establishment of Consumer Societies",https://gic.gov.lk/gic/index.php/en/component/info/?id=514&catid=28&task=info
5,"Justice, Law & Rights",Consumer Protection,Stabilisation of Prices of Essential Commodities,https://gic.gov.lk/gic/index.php/en/component/info/?id=419&catid=28&task=info
5,"Justice, Law & Rights",Consumer Protection,Legal Aid for Consumers,https://gic.gov.lk/gic/index.php/en/component/info/?id=1334&catid=28&task=info
5,"Justice, Law & Rights",Consumer Protection,Energy Efficiency Rating,https://gic.gov.lk/gic/index.php/en/component/info/?id=1700&catid=28&task=info
5,"Justice, Law & Rights",Consumer Protection,Investigations on Anti-competitive Practices,https://gic.gov.lk/gic/index.php/en/component/info/?id=525&catid=28&task=info
5,"Justice, Law & Rights",Consumer Protection,Product Testing,https://gic.gov.lk/gic/index.php/en/component/info/?id=1511&catid=28&task=info
5,"Justice, Law & Rights",Legislature & Executive,Inclusion of Names in the New Register,https://gic.gov.lk/gic/index.php/en/component/info/?id=486&catid=29&task=info
5,"Justice, Law & Rights",Legislature & Executive,"Conducting Presidential, Parliamentary, Provincial and Local Elections",https://gic.gov.lk/gic/index.php/en/component/info/?id=1452&catid=29&task=info
5,"Justice, Law & Rights",Legislature & Executive,Objection on Inclusion of a Name,https://gic.gov.lk/gic/index.php/en/component/info/?id=487&catid=29&task=info
5,"Justice, Law & Rights",Legislature & Executive,Implementation of the Soil Conservation Act,https://gic.gov.lk/gic/index.php/en/component/info/?id=698&catid=29&task=info
5,"Justice, Law & Rights",Legal Assistance,Legal Aid for Elders,https://gic.gov.lk/gic/index.php/en/component/info/?id=1336&catid=30&task=info
5,"Justice, Law & Rights",Legal Assistance,Legal Aid for disable person,https://gic.gov.lk/gic/index.php/en/component/info/?id=1335&catid=30&task=info
5,"Justice, Law & Rights",Legal Assistance,Legal Aid for Migrant Workers,https://gic.gov.lk/gic/index.php/en/component/info/?id=1338&catid=30&task=info
5,"Justice, Law & Rights",Legal Assistance,Housing Advisory Services,https://gic.gov.lk/gic/index.php/en/component/info/?id=668&catid=30&task=info
5,"Justice, Law & Rights",Legal Assistance,Report Human Rights violations,https://gic.gov.lk/gic/index.php/en/component/info/?id=1340&catid=30&task=info
5,"Justice, Law & Rights",Legal Assistance,Obtain Civil Documentation,https://gic.gov.lk/gic/index.php/en/component/info/?id=1362&catid=30&task=info
5,"Justice, Law & Rights",Legal Assistance,Legal Aid for IDP,https://gic.gov.lk/gic/index.php/en/component/info/?id=1337&catid=30&task=info
5,"Justice, Law & Rights",Legal Assistance,Complain about Corruptions,https://gic.gov.lk/gic/index.php/en/component/info/?id=1333&catid=30&task=info
5,"Justice, Law & Rights",Complaints & Grievances,Complain About Any Rape Cases or Child Abuse,https://gic.gov.lk/gic/index.php/en/component/info/?id=479&catid=31&task=info
5,"Justice, Law & Rights",Complaints & Grievances,Complain Relating to Missing Driving Licenses,https://gic.gov.lk/gic/index.php/en/component/info/?id=457&catid=31&task=info
5,"Justice, Law & Rights",Complaints & Grievances,Complain Relating to Missing NIC and Electronic Equipments.,https://gic.gov.lk/gic/index.php/en/component/info/?id=453&catid=31&task=info
5,"Justice, Law & Rights",Complaints & Grievances,Complaints Directed to the Crime Branch,https://gic.gov.lk/gic/index.php/en/component/info/?id=480&catid=31&task=info
5,"Justice, Law & Rights",Complaints & Grievances,Make Complaints on Consumer Affairs,https://gic.gov.lk/gic/index.php/en/component/info/?id=469&catid=31&task=info
5,"Justice, Law & Rights",Complaints & Grievances,Dissolution of a registered Trade Union,https://gic.gov.lk/gic/index.php/en/component/info/?id=1127&catid=31&task=info
5,"Justice, Law & Rights",Complaints & Grievances,Contact details,https://gic.gov.lk/gic/index.php/en/component/info/?id=2063&catid=31&task=info
5,"Justice, Law & Rights",Complaints & Grievances,Complain Relating to Missing Passports.,https://gic.gov.lk/gic/index.php/en/component/info/?id=460&catid=31&task=info
5,"Justice, Law & Rights",Complaints & Grievances,Complain Regarding a Child Used as Servant or Laborer,https://gic.gov.lk/gic/index.php/en/component/info/?id=483&catid=31&task=info
5,"Justice, Law & Rights",Complaints & Grievances,Notifying on Accidents,https://gic.gov.lk/gic/index.php/en/component/info/?id=1128&catid=31&task=info
5,"Justice, Law & Rights",Complaints & Grievances,Investigation into Loss of Ordinary Letters in the Post,https://gic.gov.lk/gic/index.php/en/component/info/?id=730&catid=31&task=info
5,"Justice, Law & Rights",Complaints & Grievances,Handling of complaints of wrongfully obtained Samurdhi relief,https://gic.gov.lk/gic/index.php/en/component/info/?id=591&catid=31&task=info
5,"Justice, Law & Rights",Complaints & Grievances,SCPPC-Seed Certification: Conducting inquiries on complaints against seed or planting materials,https://gic.gov.lk/gic/index.php/en/component/info/?id=1326&catid=31&task=info
5,"Justice, Law & Rights",Complaints & Grievances,SCPPC-Seed Certification: Conducting post control verification trials against complaints,https://gic.gov.lk/gic/index.php/en/component/info/?id=1323&catid=31&task=info
5,"Justice, Law & Rights",Complaints & Grievances,Complaints on Foreign Posts,https://gic.gov.lk/gic/index.php/en/component/info/?id=744&catid=31&task=info
5,"Justice, Law & Rights",Complaints & Grievances,Taking action an Industrial Disputes,https://gic.gov.lk/gic/index.php/en/component/info/?id=1122&catid=31&task=info
5,"Justice, Law & Rights",Complaints & Grievances,Change of constitution of a registered Trade Union,https://gic.gov.lk/gic/index.php/en/component/info/?id=1132&catid=31&task=info
5,"Justice, Law & Rights",Complaints & Grievances,Change of Address of an office of a registered Trade Union,https://gic.gov.lk/gic/index.php/en/component/info/?id=1131&catid=31&task=info
5,"Justice, Law & Rights",Law & Order,Requesting Clearance Certificate Sri Lankan Living in Sri Lanka to Seek Employment Abroad,https://gic.gov.lk/gic/index.php/en/component/info/?id=462&catid=32&task=info
5,"Justice, Law & Rights",Law & Order,Obtaining of Gun / Air Gun/ Explosive Permits for the First Time,https://gic.gov.lk/gic/index.php/en/component/info/?id=468&catid=32&task=info
5,"Justice, Law & Rights",Law & Order,Legal Activities of National Housing Development Authority,https://gic.gov.lk/gic/index.php/en/component/info/?id=673&catid=32&task=info
5,"Justice, Law & Rights",Law & Order,An organization in Sri Lanka Requesting a Clearance Certificate of a Potential Employee,https://gic.gov.lk/gic/index.php/en/component/info/?id=463&catid=32&task=info
5,"Justice, Law & Rights",Law & Order,Survey Activities,https://gic.gov.lk/gic/index.php/en/component/info/?id=671&catid=32&task=info
5,"Justice, Law & Rights",Law & Order,Obtain Clearance Certificate by Sri Lankan Living Abroad Seek Employment in the Country,https://gic.gov.lk/gic/index.php/en/component/info/?id=461&catid=32&task=info
5,"Justice, Law & Rights",Law & Order,Requesting for Renewal of Gun Permit on a yearly basis,https://gic.gov.lk/gic/index.php/en/component/info/?id=471&catid=32&task=info
5,"Justice, Law & Rights",Law & Order,Obtaining of Loud Speaker Permits,https://gic.gov.lk/gic/index.php/en/component/info/?id=474&catid=32&task=info
5,"Justice, Law & Rights",Law & Order,Payment of Motor Vehicle Fines,https://gic.gov.lk/gic/index.php/en/component/info/?id=741&catid=32&task=info
5,"Justice, Law & Rights",Law & Order,Extracts of Complaints for Minor Disputes,https://gic.gov.lk/gic/index.php/en/component/info/?id=470&catid=32&task=info
5,"Justice, Law & Rights",Law & Order,Assisting investigating child abuse complaints,https://gic.gov.lk/gic/index.php/en/component/info/?id=1517&catid=32&task=info
5,"Justice, Law & Rights",Law & Order,Obtain Vital Statistical Information,https://gic.gov.lk/gic/index.php/en/component/info/?id=423&catid=32&task=info
5,"Justice, Law & Rights",Law & Order,"Protective and Promotion of Human Rights Legally, Practically and on Principle",https://gic.gov.lk/gic/index.php/en/component/info/?id=676&catid=32&task=info
5,"Justice, Law & Rights",Law & Order,Examining Motor Accidents,https://gic.gov.lk/gic/index.php/en/component/info/?id=473&catid=32&task=info
5,"Justice, Law & Rights",Law & Order,Filing action by legal division in terms of the urban development act,https://gic.gov.lk/gic/index.php/en/component/info/?id=704&catid=32&task=info
5,"Justice, Law & Rights",Law & Order,Obtaining of Procession Permits,https://gic.gov.lk/gic/index.php/en/component/info/?id=467&catid=32&task=info
5,"Justice, Law & Rights",Law & Order,Criminal Prosecutions,https://gic.gov.lk/gic/index.php/en/component/info/?id=902&catid=32&task=info
5,"Justice, Law & Rights",Law & Order,Preparation of deeds by the legal division in terms of the urban development authority act,https://gic.gov.lk/gic/index.php/en/component/info/?id=705&catid=32&task=info
5,"Justice, Law & Rights",Law & Order,Removal of unauthorized constructions,https://gic.gov.lk/gic/index.php/en/component/info/?id=713&catid=32&task=info
5,"Justice, Law & Rights",Law & Order,Conducting Inquiries in Terms of Sections 13(4) and 32(b) in order to Grant Redress to Consumer,https://gic.gov.lk/gic/index.php/en/component/info/?id=522&catid=32&task=info
5,"Justice, Law & Rights",Law & Order,Preparation of agreements by the legal division in terms of the urban development act,https://gic.gov.lk/gic/index.php/en/component/info/?id=706&catid=32&task=info
5,"Justice, Law & Rights",Law & Order,Conducting Market Investigations and Raids,https://gic.gov.lk/gic/index.php/en/component/info/?id=472&catid=32&task=info
5,"Justice, Law & Rights",Law & Order,Legal Protection for Songs,https://gic.gov.lk/gic/index.php/en/component/info/?id=645&catid=32&task=info
5,"Justice, Law & Rights",Rights,Apply for Postal Voting,https://gic.gov.lk/gic/index.php/en/component/info/?id=1134&catid=33&task=info
5,"Justice, Law & Rights",Rights,Taking measures to promote the Rights of the child,https://gic.gov.lk/gic/index.php/en/component/info/?id=1516&catid=33&task=info
6,Employment Information,Publications on Career Information,PMU - Functions and Services,https://gic.gov.lk/gic/index.php/en/component/info/?id=1176&catid=85&task=info
6,Employment Information,"Seminars, Workshops & Training Programmes",Obtain the services of Mahaweli Center,https://gic.gov.lk/gic/index.php/en/component/info/?id=1210&catid=86&task=info
6,Employment Information,"Seminars, Workshops & Training Programmes",Short Term Training Programmes Relevant to Meteorological Field and Resources,https://gic.gov.lk/gic/index.php/en/component/info/?id=768&catid=86&task=info
6,Employment Information,"Seminars, Workshops & Training Programmes",Agricultural Education for School Drop-outs,https://gic.gov.lk/gic/index.php/en/component/info/?id=690&catid=86&task=info
6,Employment Information,"Seminars, Workshops & Training Programmes",National Institute of Indigenous Medicine,https://gic.gov.lk/gic/index.php/en/component/info/?id=961&catid=86&task=info
6,Employment Information,"Seminars, Workshops & Training Programmes",Agricultural Education for Public Officers,https://gic.gov.lk/gic/index.php/en/component/info/?id=691&catid=86&task=info
6,Employment Information,"Seminars, Workshops & Training Programmes",Change of officers of a registered Trade Union,https://gic.gov.lk/gic/index.php/en/component/info/?id=1126&catid=86&task=info
6,Employment Information,Employment Statistics,Carrying out of Inspections on a complaint made by an employee on Termination of his employment,https://gic.gov.lk/gic/index.php/en/component/info/?id=842&catid=93&task=info
6,Employment Information,Government Employees,Registration and Re-registration of Employees,https://gic.gov.lk/gic/index.php/en/component/info/?id=845&catid=34&task=info
6,Employment Information,Private Employees,Registration and Re-registration of Employees,https://gic.gov.lk/gic/index.php/en/component/info/?id=845&catid=35&task=info
6,Employment Information,Private Employees,Find Employment through  “BOI Zonal Job Banks”,https://gic.gov.lk/gic/index.php/en/component/info/?id=1274&catid=35&task=info
6,Employment Information,Private Employees,Providing Bonds & Guarantees,https://gic.gov.lk/gic/index.php/en/component/info/?id=1790&catid=35&task=info
6,Employment Information,Employment Opportunities,Find Employment through  “BOI Zonal Job Banks”,https://gic.gov.lk/gic/index.php/en/component/info/?id=1274&catid=36&task=info
6,Employment Information,Employment Opportunities,Find Employment through the “BOI On-line Job Bank”,https://gic.gov.lk/gic/index.php/en/component/info/?id=1273&catid=36&task=info
6,Employment Information,Employment Opportunities,Registration of Seafarers,https://gic.gov.lk/gic/index.php/en/component/info/?id=1608&catid=36&task=info
6,Employment Information,Employment Opportunities,Engagement of Seafarers,https://gic.gov.lk/gic/index.php/en/component/info/?id=1609&catid=36&task=info
6,Employment Information,Employment Opportunities,To Become a Supplier,https://gic.gov.lk/gic/index.php/en/component/info/?id=958&catid=36&task=info
6,Employment Information,Employment Opportunities,Disengagement of Seafarers,https://gic.gov.lk/gic/index.php/en/component/info/?id=1610&catid=36&task=info
6,Employment Information,Foreign Employment,Training for foreign employment,https://gic.gov.lk/gic/index.php/en/component/info/?id=17&catid=37&task=info
6,Employment Information,Foreign Employment,Welfare facilities for migrant workers,https://gic.gov.lk/gic/index.php/en/component/info/?id=375&catid=37&task=info
6,Employment Information,Foreign Employment,Services of Airport and Sahana Piyasa welfare centre,https://gic.gov.lk/gic/index.php/en/component/info/?id=387&catid=37&task=info
6,Employment Information,Foreign Employment,Procedures for complaints,https://gic.gov.lk/gic/index.php/en/component/info/?id=380&catid=37&task=info
6,Employment Information,Foreign Employment,How to obtaining a Licence for a new recruitment agency,https://gic.gov.lk/gic/index.php/en/component/info/?id=2327&catid=37&task=info
6,Employment Information,Foreign Employment,Renewing Licenses of the Foreign Recruitment Agencies,https://gic.gov.lk/gic/index.php/en/component/info/?id=2328&catid=37&task=info
6,Employment Information,"Pensions, EPF, ETF & Other",Widows’/Widowers’ & Orphans’ Pension Scheme,https://gic.gov.lk/gic/index.php/en/component/info/?id=506&catid=38&task=info
6,Employment Information,"Pensions, EPF, ETF & Other",Payment of Employees’ Provident Fund Benefits upon Completion of Age,https://gic.gov.lk/gic/index.php/en/component/info/?id=846&catid=38&task=info
6,Employment Information,"Pensions, EPF, ETF & Other",Civil Pensions Scheme,https://gic.gov.lk/gic/index.php/en/component/info/?id=494&catid=38&task=info
6,Employment Information,"Pensions, EPF, ETF & Other",Public Service Provident Fund,https://gic.gov.lk/gic/index.php/en/component/info/?id=495&catid=38&task=info
6,Employment Information,"Pensions, EPF, ETF & Other",Payment of Employees’ Provident Fund Benefits on Migration for Permanent Residence,https://gic.gov.lk/gic/index.php/en/component/info/?id=849&catid=38&task=info
6,Employment Information,"Pensions, EPF, ETF & Other",Widows/Widowers and Orphans Pension Scheme,https://gic.gov.lk/gic/index.php/en/component/info/?id=589&catid=38&task=info
6,Employment Information,"Pensions, EPF, ETF & Other",Payment of Employees’ Provident Fund Benefits on Medical grounds,https://gic.gov.lk/gic/index.php/en/component/info/?id=848&catid=38&task=info
6,Employment Information,"Pensions, EPF, ETF & Other",Payment of Employees’ Provident Fund Benefits for Female Employees on Marriage grounds,https://gic.gov.lk/gic/index.php/en/component/info/?id=847&catid=38&task=info
6,Employment Information,"Pensions, EPF, ETF & Other",Payment of Employees’ Provident Fund Benefits in the event of Death of the member,https://gic.gov.lk/gic/index.php/en/component/info/?id=852&catid=38&task=info
6,Employment Information,"Pensions, EPF, ETF & Other",Payment of Employees’ Provident Fund Benefits upon receiving a Permanent and Pensionable Appointment,https://gic.gov.lk/gic/index.php/en/component/info/?id=850&catid=38&task=info
6,Employment Information,"Pensions, EPF, ETF & Other",Civil Pension Schemes,https://gic.gov.lk/gic/index.php/en/component/info/?id=588&catid=38&task=info
6,Employment Information,"Pensions, EPF, ETF & Other",Payment of Employees’ Provident Fund Benefits upon Restructuring of Government Corporations,https://gic.gov.lk/gic/index.php/en/component/info/?id=851&catid=38&task=info
6,Employment Information,"Pensions, EPF, ETF & Other",Pension Scheme for Journalists,https://gic.gov.lk/gic/index.php/en/component/info/?id=763&catid=38&task=info
7,"Health, Well Being & Social Service",Health Assistance,National Transport Medical Institute,https://gic.gov.lk/gic/index.php/en/component/info/?id=651&catid=39&task=info
7,"Health, Well Being & Social Service",Health Assistance,Medical Assistance for Heart Surgeries,https://gic.gov.lk/gic/index.php/en/component/info/?id=1154&catid=39&task=info
7,"Health, Well Being & Social Service",Health Assistance,Personal Monitoring Service,https://gic.gov.lk/gic/index.php/en/component/info/?id=2031&catid=39&task=info
7,"Health, Well Being & Social Service",Health Assistance,Child Guidance / Psychiatric care for children,https://gic.gov.lk/gic/index.php/en/component/info/?id=1801&catid=39&task=info
7,"Health, Well Being & Social Service",Health Assistance,Child Immunization service,https://gic.gov.lk/gic/index.php/en/component/info/?id=1811&catid=39&task=info
7,"Health, Well Being & Social Service",Health Assistance,"Ear, Nose and Throat (ENT) care for children",https://gic.gov.lk/gic/index.php/en/component/info/?id=1800&catid=39&task=info
7,"Health, Well Being & Social Service",Health Assistance,Medical assistance for kidney transplantation,https://gic.gov.lk/gic/index.php/en/component/info/?id=1641&catid=39&task=info
7,"Health, Well Being & Social Service",Health Assistance,Medical assistance for cancer treatment,https://gic.gov.lk/gic/index.php/en/component/info/?id=1611&catid=39&task=info
7,"Health, Well Being & Social Service",Health Assistance,General medical care for children,https://gic.gov.lk/gic/index.php/en/component/info/?id=1793&catid=39&task=info
7,"Health, Well Being & Social Service",Health Assistance,Dental care for children,https://gic.gov.lk/gic/index.php/en/component/info/?id=1807&catid=39&task=info
7,"Health, Well Being & Social Service",Health Assistance,Neurology care  for children,https://gic.gov.lk/gic/index.php/en/component/info/?id=1795&catid=39&task=info
7,"Health, Well Being & Social Service",Health Assistance,Medical assistance for other surgeries and treatment,https://gic.gov.lk/gic/index.php/en/component/info/?id=1642&catid=39&task=info
7,"Health, Well Being & Social Service",Health Assistance,Language and speech therapy service for children,https://gic.gov.lk/gic/index.php/en/component/info/?id=1897&catid=39&task=info
7,"Health, Well Being & Social Service",Health Assistance,General surgical care for children,https://gic.gov.lk/gic/index.php/en/component/info/?id=1809&catid=39&task=info
7,"Health, Well Being & Social Service",Health Assistance,Eye (Opthalmology)  care for children,https://gic.gov.lk/gic/index.php/en/component/info/?id=1798&catid=39&task=info
7,"Health, Well Being & Social Service",Health Assistance,Skin (dermatology) care for children,https://gic.gov.lk/gic/index.php/en/component/info/?id=1802&catid=39&task=info
7,"Health, Well Being & Social Service",Health Assistance,Accident and animal bite casualty care for children,https://gic.gov.lk/gic/index.php/en/component/info/?id=1853&catid=39&task=info
7,"Health, Well Being & Social Service",Health Assistance,Heart (cardiology) care  for children,https://gic.gov.lk/gic/index.php/en/component/info/?id=1794&catid=39&task=info
7,"Health, Well Being & Social Service",Health Assistance,Ayurvedic Research Institute,https://gic.gov.lk/gic/index.php/en/component/info/?id=959&catid=39&task=info
7,"Health, Well Being & Social Service",Health Assistance,Cardiothoracic surgical care for children,https://gic.gov.lk/gic/index.php/en/component/info/?id=1796&catid=39&task=info
7,"Health, Well Being & Social Service",Health Assistance,Orthopaedic care for children,https://gic.gov.lk/gic/index.php/en/component/info/?id=1799&catid=39&task=info
7,"Health, Well Being & Social Service",Health Assistance,Cancer (oncological) care for children,https://gic.gov.lk/gic/index.php/en/component/info/?id=1808&catid=39&task=info
7,"Health, Well Being & Social Service",Health Assistance,Plastic surgical care for children,https://gic.gov.lk/gic/index.php/en/component/info/?id=1806&catid=39&task=info
7,"Health, Well Being & Social Service",Health Assistance,Physiotherapy service for children,https://gic.gov.lk/gic/index.php/en/component/info/?id=1898&catid=39&task=info
7,"Health, Well Being & Social Service",Health Assistance,Occupational Therapy service for children,https://gic.gov.lk/gic/index.php/en/component/info/?id=1899&catid=39&task=info
7,"Health, Well Being & Social Service",Health Assistance,Out patient medical and surgical care for children,https://gic.gov.lk/gic/index.php/en/component/info/?id=1854&catid=39&task=info
7,"Health, Well Being & Social Service",Health Assistance,Kidney (nephrology) care for children,https://gic.gov.lk/gic/index.php/en/component/info/?id=1797&catid=39&task=info
7,"Health, Well Being & Social Service",Health Assistance,Rheumatological care for children,https://gic.gov.lk/gic/index.php/en/component/info/?id=1805&catid=39&task=info
7,"Health, Well Being & Social Service",Health Assistance,Obtaining Assistance for Illness,https://gic.gov.lk/gic/index.php/en/component/info/?id=570&catid=39&task=info
7,"Health, Well Being & Social Service",Health Assistance,Provision of Herbal Drinks or Herbal Gruel,https://gic.gov.lk/gic/index.php/en/component/info/?id=952&catid=39&task=info
7,"Health, Well Being & Social Service",Health Assistance,Animal Hospital of the National Zoological Gardens,https://gic.gov.lk/gic/index.php/en/component/info/?id=610&catid=39&task=info
7,"Health, Well Being & Social Service",Health Assistance,Nutrition Section of National Zoological Gardens,https://gic.gov.lk/gic/index.php/en/component/info/?id=611&catid=39&task=info
7,"Health, Well Being & Social Service",Health Assistance,Obtaining Relief for Medical Treatment in the case of Injury Sustained in Disaster,https://gic.gov.lk/gic/index.php/en/component/info/?id=879&catid=39&task=info
7,"Health, Well Being & Social Service",Child Care,Child Guidance / Psychiatric care for children,https://gic.gov.lk/gic/index.php/en/component/info/?id=1801&catid=40&task=info
7,"Health, Well Being & Social Service",Child Care,Child Immunization service,https://gic.gov.lk/gic/index.php/en/component/info/?id=1811&catid=40&task=info
7,"Health, Well Being & Social Service",Child Care,"Ear, Nose and Throat (ENT) care for children",https://gic.gov.lk/gic/index.php/en/component/info/?id=1800&catid=40&task=info
7,"Health, Well Being & Social Service",Child Care,General medical care for children,https://gic.gov.lk/gic/index.php/en/component/info/?id=1793&catid=40&task=info
7,"Health, Well Being & Social Service",Child Care,Dental care for children,https://gic.gov.lk/gic/index.php/en/component/info/?id=1807&catid=40&task=info
7,"Health, Well Being & Social Service",Child Care,Neurology care  for children,https://gic.gov.lk/gic/index.php/en/component/info/?id=1795&catid=40&task=info
7,"Health, Well Being & Social Service",Child Care,Language and speech therapy service for children,https://gic.gov.lk/gic/index.php/en/component/info/?id=1897&catid=40&task=info
7,"Health, Well Being & Social Service",Child Care,General surgical care for children,https://gic.gov.lk/gic/index.php/en/component/info/?id=1809&catid=40&task=info
7,"Health, Well Being & Social Service",Child Care,Eye (Opthalmology)  care for children,https://gic.gov.lk/gic/index.php/en/component/info/?id=1798&catid=40&task=info
7,"Health, Well Being & Social Service",Child Care,Skin (dermatology) care for children,https://gic.gov.lk/gic/index.php/en/component/info/?id=1802&catid=40&task=info
7,"Health, Well Being & Social Service",Child Care,Accident and animal bite casualty care for children,https://gic.gov.lk/gic/index.php/en/component/info/?id=1853&catid=40&task=info
7,"Health, Well Being & Social Service",Child Care,Heart (cardiology) care  for children,https://gic.gov.lk/gic/index.php/en/component/info/?id=1794&catid=40&task=info
7,"Health, Well Being & Social Service",Child Care,Cardiothoracic surgical care for children,https://gic.gov.lk/gic/index.php/en/component/info/?id=1796&catid=40&task=info
7,"Health, Well Being & Social Service",Child Care,Orthopaedic care for children,https://gic.gov.lk/gic/index.php/en/component/info/?id=1799&catid=40&task=info
7,"Health, Well Being & Social Service",Child Care,Cancer (oncological) care for children,https://gic.gov.lk/gic/index.php/en/component/info/?id=1808&catid=40&task=info
7,"Health, Well Being & Social Service",Child Care,Plastic surgical care for children,https://gic.gov.lk/gic/index.php/en/component/info/?id=1806&catid=40&task=info
7,"Health, Well Being & Social Service",Child Care,Physiotherapy service for children,https://gic.gov.lk/gic/index.php/en/component/info/?id=1898&catid=40&task=info
7,"Health, Well Being & Social Service",Child Care,Occupational Therapy service for children,https://gic.gov.lk/gic/index.php/en/component/info/?id=1899&catid=40&task=info
