main_category_id,main_category,subcategory,service,serviceLink
1,Education & Training,Vocational Education & Training,Entrepreneurship Development programs,https://gic.gov.lk/gic/index.php/en/component/info/?id=781&catid=16&task=info
1,Education & Training,Vocational Education & Training,Research Cell,https://gic.gov.lk/gic/index.php/en/component/info/?id=1421&catid=16&task=info
1,Education & Training,Vocational Education & Training,Communication with World Community in Coordinating with IVETA.,https://gic.gov.lk/gic/index.php/en/component/info/?id=821&catid=16&task=info
1,Education & Training,Vocational Education & Training,Financial Assistant,https://gic.gov.lk/gic/index.php/en/component/info/?id=1420&catid=16&task=info
1,Education & Training,Vocational Education & Training,Recognition of Prior Learning,https://gic.gov.lk/gic/index.php/en/component/info/?id=1166&catid=16&task=info
1,Education & Training,Vocational Education & Training,Build the Cordination with Secondry Education Sector in Giving Priority for Inovations.,https://gic.gov.lk/gic/index.php/en/component/info/?id=822&catid=16&task=info
1,Education & Training,Vocational Education & Training,Obtaining Necessary Services under Different Field from the Production Units,https://gic.gov.lk/gic/index.php/en/component/info/?id=783&catid=16&task=info
1,Education & Training,Vocational Education & Training,Improving of International Cooperation for Development of Technical Education.,https://gic.gov.lk/gic/index.php/en/component/info/?id=820&catid=16&task=info
1,Education & Training,Vocational Education & Training,National School of Business Management Limited (NSBM),https://gic.gov.lk/gic/index.php/en/component/info/?id=2254&catid=16&task=info
1,Education & Training,Vocational Education & Training,Awareness Programme for Entrepreneurship Development,https://gic.gov.lk/gic/index.php/en/component/info/?id=619&catid=16&task=info
1,Education & Training,Vocational Education & Training,Vocational Education Training (VET) Plans,https://gic.gov.lk/gic/index.php/en/component/info/?id=943&catid=16&task=info
1,Education & Training,Education for Differently-abled,Payment of Examination Fees,https://gic.gov.lk/gic/index.php/en/component/info/?id=742&catid=17&task=info
1,Education & Training,Distance Education,Payment of Examination Fees,https://gic.gov.lk/gic/index.php/en/component/info/?id=742&catid=18&task=info
1,Education & Training,Education for Government Officers,Payment of Examination Fees,https://gic.gov.lk/gic/index.php/en/component/info/?id=742&catid=20&task=info
